 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 12/07/2021 11:35:56
File Marker Date: 11/09/2021 18:58:32
PPC_Dim_will_be_squared = 51.0
read_gap = 8.0
read_line = 20.0
read_gap2 = 7.5
C_GND = 39.5
Box_w = 250.0
DistToSigLine = 47.5
Oeff = 18.0
R 50.00000
Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S13],IM[S13],RE[S21],IM[S21],RE[S22],IM[S22],RE[S23],IM[S23],RE[S31],IM[S31],RE[S32],IM[S32],RE[S33],IM[S33]
1.000000000000000,-1.347349946e-4,-4.786864374e-3,0.9997677667580,-0.019083836883,3.5250126322e-4,0.0087842609376,0.9997677667581,-0.019083836883,-1.253213230e-4,-4.787128092e-3,3.4295284518e-4,0.0087846345376,3.5250126325e-4,0.0087842609385,3.4295284522e-4,0.0087846345385,0.9983967947216,-0.055220153673
1.001000000000000,-1.350008692e-4,-4.791639819e-3,0.9997673004149,-0.019102921091,3.5320597020e-4,0.0087930243882,0.9997673004149,-0.019102921091,-1.255683277e-4,-4.791904298e-3,3.4363856697e-4,0.0087933991182,3.5320597020e-4,0.0087930243882,3.4363856697e-4,0.0087933991182,0.9983935896360,-0.055275284246
1.002000000000000,-1.352670196e-4,-4.796415260e-3,0.9997668336107,-0.019122005267,3.5391137942e-4,0.0088017877774,0.9997668336107,-0.019122005267,-1.258155894e-4,-4.796680498e-3,3.4432497174e-4,0.0088021636392,3.5391137942e-4,0.0088017877774,3.4432497174e-4,0.0088021636392,0.9983903813554,-0.055330414550
1.003000000000000,-1.355334457e-4,-4.801190695e-3,0.9997663663454,-0.019141089409,3.5461749086e-4,0.0088105511048,0.9997663663454,-0.019141089409,-1.260631082e-4,-4.801456694e-3,3.4501205951e-4,0.0088109281007,3.5461749086e-4,0.0088105511048,3.4501205951e-4,0.0088109281007,0.9983871698799,-0.055385544585
1.004000000000000,-1.358001476e-4,-4.805966124e-3,0.9997658986192,-0.019160173517,3.5532430450e-4,0.0088193143705,0.9997658986192,-0.019160173517,-1.263108841e-4,-4.806232887e-3,3.4569983026e-4,0.0088196925026,3.5532430450e-4,0.0088193143705,3.4569983026e-4,0.0088196925026,0.9983839552095,-0.055440674350
1.005000000000000,-1.360671253e-4,-4.810741549e-3,0.9997654304320,-0.019179257590,3.5603182033e-4,0.0088280775744,0.9997654304320,-0.019179257590,-1.265589170e-4,-4.811009076e-3,3.4638828399e-4,0.0088284568449,3.5603182033e-4,0.0088280775744,3.4638828399e-4,0.0088284568449,0.9983807373443,-0.055495803845
1.006000000000000,-1.363343787e-4,-4.815516968e-3,0.9997649617838,-0.019198341630,3.5674003836e-4,0.0088368407163,0.9997649617838,-0.019198341630,-1.268072071e-4,-4.815785261e-3,3.4707742069e-4,0.0088372211275,3.5674003836e-4,0.0088368407163,3.4707742069e-4,0.0088372211275,0.9983775162843,-0.055550933071
1.007000000000000,-1.366019079e-4,-4.820292381e-3,0.9997644926746,-0.019217425635,3.5744895857e-4,0.0088456037963,0.9997644926746,-0.019217425635,-1.270557542e-4,-4.820561443e-3,3.4776724036e-4,0.0088459853503,3.5744895857e-4,0.0088456037963,3.4776724036e-4,0.0088459853503,0.9983742920295,-0.055606062026
1.008000000000000,-1.368697128e-4,-4.825067789e-3,0.9997640231045,-0.019236509606,3.5815858095e-4,0.0088543668143,0.9997640231045,-0.019236509606,-1.273045584e-4,-4.825337621e-3,3.4845774299e-4,0.0088547495134,3.5815858095e-4,0.0088543668143,3.4845774299e-4,0.0088547495134,0.9983710645799,-0.055661190711
1.009000000000000,-1.371377935e-4,-4.829843191e-3,0.9997635530733,-0.019255593543,3.5886890550e-4,0.0088631297702,0.9997635530733,-0.019255593543,-1.275536197e-4,-4.830113795e-3,3.4914892857e-4,0.0088635136166,3.5886890550e-4,0.0088631297702,3.4914892857e-4,0.0088635136166,0.9983678339357,-0.055716319125
1.010000000000000,-1.374061499e-4,-4.834618588e-3,0.9997630825812,-0.019274677446,3.5957993222e-4,0.0088718926640,0.9997630825812,-0.019274677446,-1.278029381e-4,-4.834889965e-3,3.4984079710e-4,0.0088722776599,3.5957993222e-4,0.0088718926640,3.4984079710e-4,0.0088722776599,0.9983646000968,-0.055771447268
1.011000000000000,-1.376747820e-4,-4.839393980e-3,0.9997626116281,-0.019293761314,3.6029166108e-4,0.0088806554956,0.9997626116281,-0.019293761314,-1.280525135e-4,-4.839666131e-3,3.5053334856e-4,0.0088810416432,3.6029166108e-4,0.0088806554956,3.5053334856e-4,0.0088810416432,0.9983613630632,-0.055826575139
1.012000000000000,-1.379436899e-4,-4.844169365e-3,0.9997621402140,-0.019312845149,3.6100409210e-4,0.0088894182649,0.9997621402140,-0.019312845149,-1.283023460e-4,-4.844442293e-3,3.5122658296e-4,0.0088898055664,3.6100409210e-4,0.0088894182649,3.5122658296e-4,0.0088898055664,0.9983581228350,-0.055881702739
1.013000000000000,-1.382128735e-4,-4.848944746e-3,0.9997616683390,-0.019331928949,3.6171722526e-4,0.0088981809719,0.9997616683390,-0.019331928949,-1.285524355e-4,-4.849218451e-3,3.5192050029e-4,0.0088985694296,3.6171722526e-4,0.0088981809719,3.5192050029e-4,0.0088985694296,0.9983548794121,-0.055936830067
