 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 12/07/2021 11:27:13
File Marker Date: 11/09/2021 18:58:32
PPC_Dim_will_be_squared = 51.0
read_gap = 8.0
read_line = 20.0
read_gap2 = 7.5
C_GND = 39.5
Box_w = 250.0
DistToSigLine = 47.5
Oeff = 9.0
R 50.00000
Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S13],IM[S13],RE[S21],IM[S21],RE[S22],IM[S22],RE[S23],IM[S23],RE[S31],IM[S31],RE[S32],IM[S32],RE[S33],IM[S33]
1.000000000000000,-5.851932378e-5,-2.684583598e-3,0.9998416610784,-0.016983832954,1.5478235356e-4,0.0045790631023,0.9998416610785,-0.016983832954,-5.368101765e-5,-2.684688603e-3,1.4980530962e-4,0.0045792263429,1.5478235358e-4,0.0045790631032,1.4980530966e-4,0.0045792263438,0.9988830993040,-0.046803529705
1.001000000000000,-5.863613019e-5,-2.687266215e-3,0.9998413445350,-0.017000814657,1.5509183145e-4,0.0045836346080,0.9998413445350,-0.017000814657,-5.378812738e-5,-2.687371547e-3,1.5010486247e-4,0.0045837983486,1.5509183145e-4,0.0045836346080,1.5010486247e-4,0.0045837983486,0.9988808656052,-0.046850282009
1.002000000000000,-5.875305403e-5,-2.689948829e-3,0.9998410276744,-0.017017796353,1.5540161817e-4,0.0045882060914,0.9998410276744,-0.017017796353,-5.389534466e-5,-2.690054484e-3,1.5040471416e-4,0.0045883703329,1.5540161817e-4,0.0045882060914,1.5040471416e-4,0.0045883703329,0.9988786296783,-0.046897034160
1.003000000000000,-5.887009519e-5,-2.692631438e-3,0.9998407104968,-0.017034778041,1.5571171371e-4,0.0045927775523,0.9998407104968,-0.017034778041,-5.400266962e-5,-2.692737418e-3,1.5070486471e-4,0.0045929422957,1.5571171371e-4,0.0045927775523,1.5070486471e-4,0.0045929422957,0.9988763915234,-0.046943786157
1.004000000000000,-5.898725365e-5,-2.695314042e-3,0.9998403930022,-0.017051759720,1.5602211807e-4,0.0045973489907,0.9998403930022,-0.017051759720,-5.411010226e-5,-2.695420347e-3,1.5100531412e-4,0.0045975142370,1.5602211807e-4,0.0045973489907,1.5100531412e-4,0.0045975142370,0.9988741511405,-0.046990538001
1.005000000000000,-5.910452944e-5,-2.697996641e-3,0.9998400751905,-0.017068741391,1.5633283124e-4,0.0046019204067,0.9998400751905,-0.017068741391,-5.421764258e-5,-2.698103272e-3,1.5130606237e-4,0.0046020861567,1.5633283124e-4,0.0046019204067,1.5130606237e-4,0.0046020861567,0.9988719085297,-0.047037289690
1.006000000000000,-5.922192253e-5,-2.700679236e-3,0.9998397570618,-0.017085723053,1.5664385322e-4,0.0046064918001,0.9998397570618,-0.017085723053,-5.432529059e-5,-2.700786192e-3,1.5160710947e-4,0.0046066580550,1.5664385322e-4,0.0046064918001,1.5160710947e-4,0.0046066580550,0.9988696636908,-0.047084041225
1.007000000000000,-5.933943294e-5,-2.703361825e-3,0.9998394386160,-0.017102704707,1.5695518402e-4,0.0046110631711,0.9998394386160,-0.017102704707,-5.443304627e-5,-2.703469108e-3,1.5190845542e-4,0.0046112299316,1.5695518402e-4,0.0046110631711,1.5190845542e-4,0.0046112299316,0.9988674166240,-0.047130792606
1.008000000000000,-5.945706066e-5,-2.706044410e-3,0.9998391198532,-0.017119686352,1.5726682362e-4,0.0046156345194,0.9998391198532,-0.017119686352,-5.454090963e-5,-2.706152020e-3,1.5221010022e-4,0.0046158017867,1.5726682362e-4,0.0046156345194,1.5221010022e-4,0.0046158017867,0.9988651673293,-0.047177543832
1.009000000000000,-5.957480569e-5,-2.708726989e-3,0.9998388007733,-0.017136667988,1.5757877203e-4,0.0046202058452,0.9998388007733,-0.017136667988,-5.464888067e-5,-2.708834928e-3,1.5251204386e-4,0.0046203736201,1.5757877203e-4,0.0046202058452,1.5251204386e-4,0.0046203736201,0.9988629158066,-0.047224294904
